m,k,n,FLOPs,bytes,AI,bound,latency_s,cycles
25,50,75,187500,13750,13.6364,"compute",1.875000e-07,188
2,2,2,16,24,0.6667,"memory",2.400000e-11,0
30,60,90,324000,19800,16.3636,"compute",3.240000e-07,324
25,50,75,187500,13750,13.6364,"compute",1.875000e-07,188
5,5,5,250,150,1.6667,"compute",2.500000e-10,0
2,2,2,16,24,0.6667,"memory",2.400000e-11,0
20,20,20,16000,2400,6.6667,"compute",1.600000e-08,16
25,50,75,187500,13750,13.6364,"compute",1.875000e-07,188
5,5,5,250,150,1.6667,"compute",2.500000e-10,0
20,20,20,16000,2400,6.6667,"compute",1.600000e-08,16
10,10,10,2000,600,3.3333,"compute",2.000000e-09,2
30,60,90,324000,19800,16.3636,"compute",3.240000e-07,324
30,60,90,324000,19800,16.3636,"compute",3.240000e-07,324
10,10,10,2000,600,3.3333,"compute",2.000000e-09,2
2,2,2,16,24,0.6667,"memory",2.400000e-11,0
30,60,90,324000,19800,16.3636,"compute",3.240000e-07,324
30,60,90,324000,19800,16.3636,"compute",3.240000e-07,324
25,50,75,187500,13750,13.6364,"compute",1.875000e-07,188
5,5,5,250,150,1.6667,"compute",2.500000e-10,0
30,60,90,324000,19800,16.3636,"compute",3.240000e-07,324
2,2,2,16,24,0.6667,"memory",2.400000e-11,0
10,10,10,2000,600,3.3333,"compute",2.000000e-09,2
5,5,5,250,150,1.6667,"compute",2.500000e-10,0
5,5,5,250,150,1.6667,"compute",2.500000e-10,0
2,2,2,16,24,0.6667,"memory",2.400000e-11,0
5,5,5,250,150,1.6667,"compute",2.500000e-10,0
5,5,5,250,150,1.6667,"compute",2.500000e-10,0
30,60,90,324000,19800,16.3636,"compute",3.240000e-07,324
2,2,2,16,24,0.6667,"memory",2.400000e-11,0
25,50,75,187500,13750,13.6364,"compute",1.875000e-07,188
20,20,20,16000,2400,6.6667,"compute",1.600000e-08,16
20,20,20,16000,2400,6.6667,"compute",1.600000e-08,16
30,60,90,324000,19800,16.3636,"compute",3.240000e-07,324
10,10,10,2000,600,3.3333,"compute",2.000000e-09,2
5,5,5,250,150,1.6667,"compute",2.500000e-10,0
20,20,20,16000,2400,6.6667,"compute",1.600000e-08,16
20,20,20,16000,2400,6.6667,"compute",1.600000e-08,16
25,50,75,187500,13750,13.6364,"compute",1.875000e-07,188
10,10,10,2000,600,3.3333,"compute",2.000000e-09,2
2,2,2,16,24,0.6667,"memory",2.400000e-11,0
30,60,90,324000,19800,16.3636,"compute",3.240000e-07,324
5,5,5,250,150,1.6667,"compute",2.500000e-10,0
25,50,75,187500,13750,13.6364,"compute",1.875000e-07,188
5,5,5,250,150,1.6667,"compute",2.500000e-10,0
20,20,20,16000,2400,6.6667,"compute",1.600000e-08,16
20,20,20,16000,2400,6.6667,"compute",1.600000e-08,16
5,5,5,250,150,1.6667,"compute",2.500000e-10,0
25,50,75,187500,13750,13.6364,"compute",1.875000e-07,188
20,20,20,16000,2400,6.6667,"compute",1.600000e-08,16
5,5,5,250,150,1.6667,"compute",2.500000e-10,0
30,60,90,324000,19800,16.3636,"compute",3.240000e-07,324
100,100,100,2000000,60000,33.3333,"compute",2.000000e-06,2000
25,50,75,187500,13750,13.6364,"compute",1.875000e-07,188
20,20,20,16000,2400,6.6667,"compute",1.600000e-08,16
100,100,100,2000000,60000,33.3333,"compute",2.000000e-06,2000
2,2,2,16,24,0.6667,"memory",2.400000e-11,0
25,50,75,187500,13750,13.6364,"compute",1.875000e-07,188
20,20,20,16000,2400,6.6667,"compute",1.600000e-08,16
5,5,5,250,150,1.6667,"compute",2.500000e-10,0
5,5,5,250,150,1.6667,"compute",2.500000e-10,0
20,20,20,16000,2400,6.6667,"compute",1.600000e-08,16
30,60,90,324000,19800,16.3636,"compute",3.240000e-07,324
20,20,20,16000,2400,6.6667,"compute",1.600000e-08,16
10,10,10,2000,600,3.3333,"compute",2.000000e-09,2
20,20,20,16000,2400,6.6667,"compute",1.600000e-08,16
10,10,10,2000,600,3.3333,"compute",2.000000e-09,2
100,100,100,2000000,60000,33.3333,"compute",2.000000e-06,2000
100,100,100,2000000,60000,33.3333,"compute",2.000000e-06,2000
5,5,5,250,150,1.6667,"compute",2.500000e-10,0
10,10,10,2000,600,3.3333,"compute",2.000000e-09,2
10,10,10,2000,600,3.3333,"compute",2.000000e-09,2
20,20,20,16000,2400,6.6667,"compute",1.600000e-08,16
25,50,75,187500,13750,13.6364,"compute",1.875000e-07,188
25,50,75,187500,13750,13.6364,"compute",1.875000e-07,188
10,10,10,2000,600,3.3333,"compute",2.000000e-09,2
20,20,20,16000,2400,6.6667,"compute",1.600000e-08,16
5,5,5,250,150,1.6667,"compute",2.500000e-10,0
30,60,90,324000,19800,16.3636,"compute",3.240000e-07,324
20,20,20,16000,2400,6.6667,"compute",1.600000e-08,16
10,10,10,2000,600,3.3333,"compute",2.000000e-09,2
10,10,10,2000,600,3.3333,"compute",2.000000e-09,2
100,100,100,2000000,60000,33.3333,"compute",2.000000e-06,2000
30,60,90,324000,19800,16.3636,"compute",3.240000e-07,324
25,50,75,187500,13750,13.6364,"compute",1.875000e-07,188
30,60,90,324000,19800,16.3636,"compute",3.240000e-07,324
20,20,20,16000,2400,6.6667,"compute",1.600000e-08,16
2,2,2,16,24,0.6667,"memory",2.400000e-11,0
5,5,5,250,150,1.6667,"compute",2.500000e-10,0
20,20,20,16000,2400,6.6667,"compute",1.600000e-08,16
10,10,10,2000,600,3.3333,"compute",2.000000e-09,2
10,10,10,2000,600,3.3333,"compute",2.000000e-09,2
5,5,5,250,150,1.6667,"compute",2.500000e-10,0
30,60,90,324000,19800,16.3636,"compute",3.240000e-07,324
30,60,90,324000,19800,16.3636,"compute",3.240000e-07,324
5,5,5,250,150,1.6667,"compute",2.500000e-10,0
5,5,5,250,150,1.6667,"compute",2.500000e-10,0
100,100,100,2000000,60000,33.3333,"compute",2.000000e-06,2000
30,60,90,324000,19800,16.3636,"compute",3.240000e-07,324
30,60,90,324000,19800,16.3636,"compute",3.240000e-07,324
30,60,90,324000,19800,16.3636,"compute",3.240000e-07,324
5,5,5,250,150,1.6667,"compute",2.500000e-10,0
10,10,10,2000,600,3.3333,"compute",2.000000e-09,2
25,50,75,187500,13750,13.6364,"compute",1.875000e-07,188
25,50,75,187500,13750,13.6364,"compute",1.875000e-07,188
25,50,75,187500,13750,13.6364,"compute",1.875000e-07,188
25,50,75,187500,13750,13.6364,"compute",1.875000e-07,188
10,10,10,2000,600,3.3333,"compute",2.000000e-09,2
5,5,5,250,150,1.6667,"compute",2.500000e-10,0
30,60,90,324000,19800,16.3636,"compute",3.240000e-07,324
20,20,20,16000,2400,6.6667,"compute",1.600000e-08,16
100,100,100,2000000,60000,33.3333,"compute",2.000000e-06,2000
20,20,20,16000,2400,6.6667,"compute",1.600000e-08,16
100,100,100,2000000,60000,33.3333,"compute",2.000000e-06,2000
20,20,20,16000,2400,6.6667,"compute",1.600000e-08,16
20,20,20,16000,2400,6.6667,"compute",1.600000e-08,16
25,50,75,187500,13750,13.6364,"compute",1.875000e-07,188
20,20,20,16000,2400,6.6667,"compute",1.600000e-08,16
2,2,2,16,24,0.6667,"memory",2.400000e-11,0
25,50,75,187500,13750,13.6364,"compute",1.875000e-07,188
2,2,2,16,24,0.6667,"memory",2.400000e-11,0
100,100,100,2000000,60000,33.3333,"compute",2.000000e-06,2000
2,2,2,16,24,0.6667,"memory",2.400000e-11,0
25,50,75,187500,13750,13.6364,"compute",1.875000e-07,188
2,2,2,16,24,0.6667,"memory",2.400000e-11,0
30,60,90,324000,19800,16.3636,"compute",3.240000e-07,324
30,60,90,324000,19800,16.3636,"compute",3.240000e-07,324
5,5,5,250,150,1.6667,"compute",2.500000e-10,0
20,20,20,16000,2400,6.6667,"compute",1.600000e-08,16
100,100,100,2000000,60000,33.3333,"compute",2.000000e-06,2000
25,50,75,187500,13750,13.6364,"compute",1.875000e-07,188
25,50,75,187500,13750,13.6364,"compute",1.875000e-07,188
100,100,100,2000000,60000,33.3333,"compute",2.000000e-06,2000
2,2,2,16,24,0.6667,"memory",2.400000e-11,0
5,5,5,250,150,1.6667,"compute",2.500000e-10,0
20,20,20,16000,2400,6.6667,"compute",1.600000e-08,16
10,10,10,2000,600,3.3333,"compute",2.000000e-09,2
20,20,20,16000,2400,6.6667,"compute",1.600000e-08,16
10,10,10,2000,600,3.3333,"compute",2.000000e-09,2
10,10,10,2000,600,3.3333,"compute",2.000000e-09,2
20,20,20,16000,2400,6.6667,"compute",1.600000e-08,16
30,60,90,324000,19800,16.3636,"compute",3.240000e-07,324
5,5,5,250,150,1.6667,"compute",2.500000e-10,0
20,20,20,16000,2400,6.6667,"compute",1.600000e-08,16
2,2,2,16,24,0.6667,"memory",2.400000e-11,0
25,50,75,187500,13750,13.6364,"compute",1.875000e-07,188
20,20,20,16000,2400,6.6667,"compute",1.600000e-08,16
20,20,20,16000,2400,6.6667,"compute",1.600000e-08,16
25,50,75,187500,13750,13.6364,"compute",1.875000e-07,188
2,2,2,16,24,0.6667,"memory",2.400000e-11,0
10,10,10,2000,600,3.3333,"compute",2.000000e-09,2
25,50,75,187500,13750,13.6364,"compute",1.875000e-07,188
10,10,10,2000,600,3.3333,"compute",2.000000e-09,2
10,10,10,2000,600,3.3333,"compute",2.000000e-09,2
10,10,10,2000,600,3.3333,"compute",2.000000e-09,2
30,60,90,324000,19800,16.3636,"compute",3.240000e-07,324
5,5,5,250,150,1.6667,"compute",2.500000e-10,0
30,60,90,324000,19800,16.3636,"compute",3.240000e-07,324
2,2,2,16,24,0.6667,"memory",2.400000e-11,0
20,20,20,16000,2400,6.6667,"compute",1.600000e-08,16
2,2,2,16,24,0.6667,"memory",2.400000e-11,0
100,100,100,2000000,60000,33.3333,"compute",2.000000e-06,2000
2,2,2,16,24,0.6667,"memory",2.400000e-11,0
20,20,20,16000,2400,6.6667,"compute",1.600000e-08,16
10,10,10,2000,600,3.3333,"compute",2.000000e-09,2
100,100,100,2000000,60000,33.3333,"compute",2.000000e-06,2000
2,2,2,16,24,0.6667,"memory",2.400000e-11,0
20,20,20,16000,2400,6.6667,"compute",1.600000e-08,16
10,10,10,2000,600,3.3333,"compute",2.000000e-09,2
5,5,5,250,150,1.6667,"compute",2.500000e-10,0
2,2,2,16,24,0.6667,"memory",2.400000e-11,0
100,100,100,2000000,60000,33.3333,"compute",2.000000e-06,2000
20,20,20,16000,2400,6.6667,"compute",1.600000e-08,16
20,20,20,16000,2400,6.6667,"compute",1.600000e-08,16
30,60,90,324000,19800,16.3636,"compute",3.240000e-07,324
20,20,20,16000,2400,6.6667,"compute",1.600000e-08,16
100,100,100,2000000,60000,33.3333,"compute",2.000000e-06,2000
100,100,100,2000000,60000,33.3333,"compute",2.000000e-06,2000
100,100,100,2000000,60000,33.3333,"compute",2.000000e-06,2000
20,20,20,16000,2400,6.6667,"compute",1.600000e-08,16
5,5,5,250,150,1.6667,"compute",2.500000e-10,0
10,10,10,2000,600,3.3333,"compute",2.000000e-09,2
30,60,90,324000,19800,16.3636,"compute",3.240000e-07,324
100,100,100,2000000,60000,33.3333,"compute",2.000000e-06,2000
20,20,20,16000,2400,6.6667,"compute",1.600000e-08,16
2,2,2,16,24,0.6667,"memory",2.400000e-11,0
5,5,5,250,150,1.6667,"compute",2.500000e-10,0
25,50,75,187500,13750,13.6364,"compute",1.875000e-07,188
2,2,2,16,24,0.6667,"memory",2.400000e-11,0
2,2,2,16,24,0.6667,"memory",2.400000e-11,0
2,2,2,16,24,0.6667,"memory",2.400000e-11,0
30,60,90,324000,19800,16.3636,"compute",3.240000e-07,324
100,100,100,2000000,60000,33.3333,"compute",2.000000e-06,2000
5,5,5,250,150,1.6667,"compute",2.500000e-10,0
10,10,10,2000,600,3.3333,"compute",2.000000e-09,2
20,20,20,16000,2400,6.6667,"compute",1.600000e-08,16
30,60,90,324000,19800,16.3636,"compute",3.240000e-07,324
2,2,2,16,24,0.6667,"memory",2.400000e-11,0
100,100,100,2000000,60000,33.3333,"compute",2.000000e-06,2000
20,20,20,16000,2400,6.6667,"compute",1.600000e-08,16
10,10,10,2000,600,3.3333,"compute",2.000000e-09,2
25,50,75,187500,13750,13.6364,"compute",1.875000e-07,188
5,5,5,250,150,1.6667,"compute",2.500000e-10,0
30,60,90,324000,19800,16.3636,"compute",3.240000e-07,324
10,10,10,2000,600,3.3333,"compute",2.000000e-09,2
5,5,5,250,150,1.6667,"compute",2.500000e-10,0
100,100,100,2000000,60000,33.3333,"compute",2.000000e-06,2000
2,2,2,16,24,0.6667,"memory",2.400000e-11,0
100,100,100,2000000,60000,33.3333,"compute",2.000000e-06,2000
30,60,90,324000,19800,16.3636,"compute",3.240000e-07,324
20,20,20,16000,2400,6.6667,"compute",1.600000e-08,16
100,100,100,2000000,60000,33.3333,"compute",2.000000e-06,2000
5,5,5,250,150,1.6667,"compute",2.500000e-10,0
25,50,75,187500,13750,13.6364,"compute",1.875000e-07,188
25,50,75,187500,13750,13.6364,"compute",1.875000e-07,188
2,2,2,16,24,0.6667,"memory",2.400000e-11,0
5,5,5,250,150,1.6667,"compute",2.500000e-10,0
10,10,10,2000,600,3.3333,"compute",2.000000e-09,2
10,10,10,2000,600,3.3333,"compute",2.000000e-09,2
25,50,75,187500,13750,13.6364,"compute",1.875000e-07,188
10,10,10,2000,600,3.3333,"compute",2.000000e-09,2
25,50,75,187500,13750,13.6364,"compute",1.875000e-07,188
30,60,90,324000,19800,16.3636,"compute",3.240000e-07,324
5,5,5,250,150,1.6667,"compute",2.500000e-10,0
2,2,2,16,24,0.6667,"memory",2.400000e-11,0
2,2,2,16,24,0.6667,"memory",2.400000e-11,0
100,100,100,2000000,60000,33.3333,"compute",2.000000e-06,2000
2,2,2,16,24,0.6667,"memory",2.400000e-11,0
25,50,75,187500,13750,13.6364,"compute",1.875000e-07,188
5,5,5,250,150,1.6667,"compute",2.500000e-10,0
10,10,10,2000,600,3.3333,"compute",2.000000e-09,2
100,100,100,2000000,60000,33.3333,"compute",2.000000e-06,2000
10,10,10,2000,600,3.3333,"compute",2.000000e-09,2
30,60,90,324000,19800,16.3636,"compute",3.240000e-07,324
10,10,10,2000,600,3.3333,"compute",2.000000e-09,2
5,5,5,250,150,1.6667,"compute",2.500000e-10,0
30,60,90,324000,19800,16.3636,"compute",3.240000e-07,324
25,50,75,187500,13750,13.6364,"compute",1.875000e-07,188
25,50,75,187500,13750,13.6364,"compute",1.875000e-07,188
25,50,75,187500,13750,13.6364,"compute",1.875000e-07,188
5,5,5,250,150,1.6667,"compute",2.500000e-10,0
20,20,20,16000,2400,6.6667,"compute",1.600000e-08,16
20,20,20,16000,2400,6.6667,"compute",1.600000e-08,16
2,2,2,16,24,0.6667,"memory",2.400000e-11,0
5,5,5,250,150,1.6667,"compute",2.500000e-10,0
10,10,10,2000,600,3.3333,"compute",2.000000e-09,2
30,60,90,324000,19800,16.3636,"compute",3.240000e-07,324
2,2,2,16,24,0.6667,"memory",2.400000e-11,0
30,60,90,324000,19800,16.3636,"compute",3.240000e-07,324
10,10,10,2000,600,3.3333,"compute",2.000000e-09,2
100,100,100,2000000,60000,33.3333,"compute",2.000000e-06,2000
5,5,5,250,150,1.6667,"compute",2.500000e-10,0
5,5,5,250,150,1.6667,"compute",2.500000e-10,0
20,20,20,16000,2400,6.6667,"compute",1.600000e-08,16
5,5,5,250,150,1.6667,"compute",2.500000e-10,0
25,50,75,187500,13750,13.6364,"compute",1.875000e-07,188
2,2,2,16,24,0.6667,"memory",2.400000e-11,0
